amount,n_daily_txns,velocity_spike,high_risk_country,below_ctr_threshold,label,ml_suspicion_score
905.6528033225691,3,0,0,0,0,0.0041082981042563915
3922.35382030422,2,0,0,0,0,0.0041082981042563915
4698.720780408033,2,0,0,0,0,0.0041082981042563915
730.3946347457164,1,0,0,0,0,0.0041082981042563915
2239.0795304319286,1,0,0,0,0,0.0041082981042563915
8081.207074355124,2,0,0,0,0,0.0041082981042563915
778.3792312136368,1,0,0,0,0,0.0041082981042563915
1898.347061467033,3,0,0,0,0,0.0041082981042563915
715.3324170927335,2,0,0,0,0,0.0041082981042563915
106.31260737521302,3,0,0,0,0,0.0041082981042563915
1897.7569608324682,1,0,0,0,0,0.0041082981042563915
306.2230250965243,2,0,0,0,0,0.0041082981042563915
1555.1862969665067,1,0,0,0,0,0.0041082981042563915
4020.768360436169,2,0,0,0,0,0.0041082981042563915
9755.737570422374,9,1,0,0,0,0.2785716950893402
9301.366526182625,9,1,0,0,0,0.9272543787956238
98.22096339160811,1,0,0,0,0,0.0041082981042563915
1522.3271818969963,3,0,0,0,0,0.0041082981042563915
8553.812430125032,9,1,0,0,0,0.03328726440668106
451.17989772024424,2,0,0,0,0,0.0041082981042563915
292.1596465564384,3,0,0,0,0,0.0041082981042563915
9195.04989630757,9,1,0,0,0,0.9168692231178284
864.2190407200237,1,0,0,0,0,0.0041082981042563915
1585.0268285540596,3,0,0,0,0,0.0041082981042563915
1419.739699133745,1,0,0,0,0,0.0041082981042563915
479.76430549247414,2,0,0,0,0,0.0041082981042563915
1609.0413797661163,1,0,0,0,0,0.0041082981042563915
1387.5239567369654,3,0,0,0,0,0.0041082981042563915
9715.633390457642,9,1,0,0,0,0.2785716950893402
996.0735129828992,2,0,0,0,0,0.0041082981042563915
502.96350021129814,2,0,0,0,0,0.0041082981042563915
115.37904010610687,3,0,0,0,0,0.0041082981042563915
8774.030346876034,9,1,1,1,1,1.0
1362.710751820024,2,0,0,0,0,0.0041082981042563915
149.4466733122916,3,0,0,0,0,0.0041082981042563915
2986.165487368959,1,0,0,0,0,0.0041082981042563915
675.7549880737007,2,0,0,0,0,0.0041082981042563915
5492.375564652491,2,0,0,0,0,0.0041082981042563915
4824.467030437482,1,0,0,0,0,0.0041082981042563915
931.2773156223311,3,0,0,0,0,0.0041082981042563915
906.939875931252,1,0,0,0,0,0.0041082981042563915
387.3830309014393,2,0,0,0,0,0.0041082981042563915
3692.983064221275,2,0,0,0,0,0.0041082981042563915
619.5889897658574,3,0,0,0,0,0.0041082981042563915
653.0934041968786,1,0,0,0,0,0.0041082981042563915
9903.329220528654,9,1,0,0,0,0.9038791656494141
4570.990882476558,1,0,0,0,0,0.0041082981042563915
9221.076917192326,3,0,0,0,0,0.09397587180137634
1427.5531936756884,1,0,0,0,0,0.0041082981042563915
988.8194253948374,3,0,0,0,0,0.0041082981042563915
1396.4096974590882,3,0,0,0,0,0.0041082981042563915
2070.139225847732,1,0,0,0,0,0.0041082981042563915
2887.8811744680515,3,0,0,0,0,0.0041082981042563915
1434.990413492824,3,0,0,0,0,0.0041082981042563915
2950.0692823334657,1,0,0,0,0,0.0041082981042563915
2642.281360981003,3,0,0,0,0,0.0041082981042563915
932.0011787659207,1,0,0,0,0,0.0041082981042563915
2074.621094432517,3,0,0,0,0,0.0041082981042563915
413.2452258263497,1,0,0,0,0,0.0041082981042563915
685.8079688835057,1,0,0,0,0,0.0041082981042563915
1602.435653818367,2,0,0,0,0,0.0041082981042563915
305.53441561787014,3,0,0,0,0,0.0041082981042563915
6272.5266451800435,2,0,0,0,0,0.0041082981042563915
223.72833075804974,3,0,0,0,0,0.0041082981042563915
939.637648614482,1,0,0,0,0,0.0041082981042563915
9336.134690547977,2,0,0,0,0,0.041843757033348083
399.9997643796334,1,0,0,0,0,0.0041082981042563915
1010.713938896586,3,0,0,0,0,0.0041082981042563915
685.1428424911549,1,0,0,0,0,0.0041082981042563915
939.615282855884,1,0,0,0,0,0.0041082981042563915
1693.8614352047532,1,0,0,0,0,0.0041082981042563915
961.8538055136363,1,0,0,0,0,0.0041082981042563915
2808.946318520047,2,0,0,0,0,0.0041082981042563915
750.0902166854099,3,0,0,0,0,0.0041082981042563915
1475.0069797677552,1,0,0,0,0,0.0041082981042563915
1957.769594915203,3,0,0,0,0,0.0041082981042563915
350.045019676087,2,0,0,0,0,0.0041082981042563915
9914.1301445655,9,1,0,0,0,0.9038791656494141
444.77872228713477,1,0,0,0,0,0.0041082981042563915
2691.396299605045,1,0,0,0,0,0.0041082981042563915
9314.699897024711,9,1,0,0,0,0.4772148132324219
9744.198749559384,9,1,0,0,0,0.2785716950893402
8827.8376350013,9,1,0,0,0,0.8796578645706177
256.0000179872385,1,0,0,0,0,0.0041082981042563915
499.4134075968255,3,0,0,0,0,0.0041082981042563915
2989.190294826079,3,0,0,0,0,0.0041082981042563915
2457.766480983135,1,0,0,0,0,0.0041082981042563915
8635.778008744624,9,1,0,0,0,0.03328726440668106
1083.4604835635894,1,0,0,0,0,0.0041082981042563915
1775.9074940740218,2,0,0,0,0,0.0041082981042563915
2101.8911957032415,1,0,0,0,0,0.0041082981042563915
607.4640436383738,1,0,0,0,0,0.0041082981042563915
805.3902515265803,1,0,0,0,0,0.0041082981042563915
3131.2063400587317,1,0,0,0,0,0.0041082981042563915
9042.03694532942,9,1,0,0,0,0.8796578645706177
773.7701980423167,2,0,0,0,0,0.0041082981042563915
865.3635740898053,2,0,0,0,0,0.0041082981042563915
690.6603765344029,3,0,0,0,0,0.0041082981042563915
14730.47456610432,1,0,0,0,0,0.017227690666913986
339.67619881532573,3,0,0,0,0,0.0041082981042563915
8980.780444311224,9,1,1,1,1,1.0
781.3060356413947,1,0,0,0,0,0.0041082981042563915
8854.304292639934,9,1,0,0,0,0.8796578645706177
607.2232857938096,1,0,0,0,0,0.0041082981042563915
189.28961894130728,1,0,0,0,0,0.0041082981042563915
1302.3952295634085,3,0,0,0,0,0.0041082981042563915
4024.05184120153,2,0,0,0,0,0.0041082981042563915
9884.9267004176,9,1,0,0,0,0.2785716950893402
12337.701454583379,1,0,0,0,0,0.017227690666913986
1474.3816929775994,3,0,0,0,0,0.0041082981042563915
9390.814768758068,9,1,0,0,0,0.4772148132324219
217.96656090495023,1,0,0,0,0,0.0041082981042563915
751.3243474621894,3,0,0,0,0,0.0041082981042563915
1773.5645294256094,2,0,0,0,0,0.0041082981042563915
1970.8541991040604,3,0,0,0,0,0.0041082981042563915
998.9466265520958,1,0,0,0,0,0.0041082981042563915
9410.209934310615,9,1,0,0,0,0.4772148132324219
20208.57838987304,1,0,0,0,0,0.017227690666913986
2578.644943637617,1,0,0,0,0,0.0041082981042563915
304.10266242423285,2,0,0,0,0,0.0041082981042563915
245.90349685826797,2,0,0,0,0,0.0041082981042563915
199.20765716289506,1,0,0,0,0,0.0041082981042563915
2240.3703872493834,1,0,0,0,0,0.0041082981042563915
194.93761353935835,3,0,0,0,0,0.0041082981042563915
9712.645434157617,9,1,0,0,0,0.2785716950893402
6959.236248915888,2,0,0,0,0,0.0041082981042563915
1723.8819090439142,2,0,0,0,0,0.0041082981042563915
250.42066985272632,1,0,0,0,0,0.0041082981042563915
1883.9607296882155,1,0,0,0,0,0.0041082981042563915
1500.4402551353971,2,0,0,0,0,0.0041082981042563915
615.2975007647067,1,0,0,0,0,0.0041082981042563915
2418.26621351962,2,0,0,0,0,0.0041082981042563915
8507.944481594337,2,0,0,0,0,0.0041082981042563915
665.6103248365606,3,0,0,0,0,0.0041082981042563915
3559.630011096268,3,0,0,0,0,0.0041082981042563915
1025.614092800164,1,0,0,0,0,0.0041082981042563915
9151.70486046676,9,1,1,1,1,1.0
8676.13906899665,9,1,0,0,0,0.6993576288223267
858.1012968001555,3,0,0,0,0,0.0041082981042563915
1612.9927002741917,2,0,0,0,0,0.0041082981042563915
9534.500027598111,9,1,0,0,0,0.9177963137626648
1683.7124708717406,1,0,0,0,0,0.0041082981042563915
817.4756201235487,1,0,0,0,0,0.0041082981042563915
201.95347535126677,2,0,0,0,0,0.0041082981042563915
8955.391130996506,9,1,0,0,0,0.8796578645706177
785.1513951878418,2,0,0,0,0,0.0041082981042563915
937.6362703690944,3,0,0,0,0,0.0041082981042563915
9679.187919027905,9,1,0,0,0,0.9177963137626648
1772.4949394937182,1,0,0,0,0,0.0041082981042563915
8660.861231885949,9,1,1,1,1,1.0
479.9925263305569,1,0,0,0,0,0.0041082981042563915
578.8956007655621,1,0,0,0,0,0.0041082981042563915
394.05973417127774,2,0,0,0,0,0.0041082981042563915
1005.163836849619,3,0,0,0,0,0.0041082981042563915
771.1373087815809,3,0,0,0,0,0.0041082981042563915
437.2686272903432,3,0,0,0,0,0.0041082981042563915
100.05696713125408,2,0,0,0,0,0.0041082981042563915
1232.359383745519,1,0,0,0,0,0.0041082981042563915
783.9871515455452,3,0,0,0,0,0.0041082981042563915
1091.0307092967137,1,0,0,0,0,0.0041082981042563915
147.89132417672684,3,0,0,0,0,0.0041082981042563915
2509.8748662441044,1,0,0,0,0,0.0041082981042563915
